"","alpha","lambda","Model","Simulation_number"
"1",0,0.120679264063933,"RIDGE",1
"2",1,0.00409491506238043,"LASSO",1
"3",0.1,0.0294705170255181,"ELASTIC NET",1
"4",0,0.0910298177991522,"RIDGE",2
"5",1,0.00409491506238043,"LASSO",2
"6",0.1,0.0294705170255181,"ELASTIC NET",2
"7",0,0.120679264063933,"RIDGE",3
"8",1,0.00409491506238043,"LASSO",3
"9",0.1,0.0517947467923121,"ELASTIC NET",3
"10",0,0.0910298177991522,"RIDGE",4
"11",1,0.00542867543932386,"LASSO",4
"12",0,0.0910298177991522,"ELASTIC NET",4
"13",0,0.281176869797423,"RIDGE",5
"14",1,0.012648552168553,"LASSO",5
"15",0,0.281176869797423,"ELASTIC NET",5
"16",0,0.159985871960606,"RIDGE",6
"17",1,0.0222299648252619,"LASSO",6
"18",0,0.159985871960606,"ELASTIC NET",6
"19",0,0.159985871960606,"RIDGE",7
"20",1,0.0167683293681101,"LASSO",7
"21",0,0.159985871960606,"ELASTIC NET",7
"22",0,0.281176869797423,"RIDGE",8
"23",1,0.0390693993705462,"LASSO",8
"24",0,0.281176869797423,"ELASTIC NET",8
"25",0,0.120679264063933,"RIDGE",9
"26",1,0.0167683293681101,"LASSO",9
"27",0,0.120679264063933,"ELASTIC NET",9
"28",0,0.120679264063933,"RIDGE",10
"29",1,0.00542867543932386,"LASSO",10
"30",0.1,0.0294705170255181,"ELASTIC NET",10
"31",0,0.120679264063933,"RIDGE",11
"32",1,0.00542867543932386,"LASSO",11
"33",0.1,0.0390693993705462,"ELASTIC NET",11
"34",0,0.120679264063933,"RIDGE",12
"35",1,0.00954095476349994,"LASSO",12
"36",0,0.120679264063933,"ELASTIC NET",12
"37",0,0.120679264063933,"RIDGE",13
"38",1,0.00954095476349994,"LASSO",13
"39",0,0.120679264063933,"ELASTIC NET",13
"40",0,0.159985871960606,"RIDGE",14
"41",1,0.012648552168553,"LASSO",14
"42",0,0.159985871960606,"ELASTIC NET",14
"43",0,0.159985871960606,"RIDGE",15
"44",1,0.00719685673001152,"LASSO",15
"45",0.1,0.0517947467923121,"ELASTIC NET",15
"46",0,0.159985871960606,"RIDGE",16
"47",1,0.00542867543932386,"LASSO",16
"48",0.1,0.0390693993705462,"ELASTIC NET",16
"49",0,0.120679264063933,"RIDGE",17
"50",1,0.012648552168553,"LASSO",17
"51",0,0.120679264063933,"ELASTIC NET",17
"52",0,0.120679264063933,"RIDGE",18
"53",1,0.00409491506238043,"LASSO",18
"54",0.1,0.0294705170255181,"ELASTIC NET",18
"55",0,0.212095088792019,"RIDGE",19
"56",1,0.0294705170255181,"LASSO",19
"57",0,0.212095088792019,"ELASTIC NET",19
"58",0,0.120679264063933,"RIDGE",20
"59",1,0.00409491506238043,"LASSO",20
"60",0,0.120679264063933,"ELASTIC NET",20
"61",0,0.0910298177991522,"RIDGE",21
"62",1,0.00954095476349994,"LASSO",21
"63",0,0.0910298177991522,"ELASTIC NET",21
"64",0,0.159985871960606,"RIDGE",22
"65",1,0.0167683293681101,"LASSO",22
"66",0,0.159985871960606,"ELASTIC NET",22
"67",0,0.120679264063933,"RIDGE",23
"68",1,0.012648552168553,"LASSO",23
"69",0,0.120679264063933,"ELASTIC NET",23
"70",0,0.212095088792019,"RIDGE",24
"71",1,0.0517947467923121,"LASSO",24
"72",0,0.212095088792019,"ELASTIC NET",24
"73",0,0.212095088792019,"RIDGE",25
"74",1,0.0222299648252619,"LASSO",25
"75",0,0.212095088792019,"ELASTIC NET",25
"76",0,0.212095088792019,"RIDGE",26
"77",1,0.0222299648252619,"LASSO",26
